key	key_word	key_deriv	word	type	cz	en	gr	crum	pos	added	updated	created_by	updated_by	key-link	word-parsed	word-parsed-no-ref	word-parsed-no-html	word-parsed-no-ref-no-html	word-parsed-prettify	type-parsed	gr-parsed	en-parsed	en-parsed-no-html	en-parsed-no-greek	en-parsed-light-greek	en-parsed-link-light-greek	en-parsed-no-greek-no-html	crum-link	crum-page	crum-column	dialect-S	lemma-S	dialect-Sa	lemma-Sa	dialect-Sf	lemma-Sf	dialect-A	lemma-A	dialect-sA	lemma-sA	dialect-B	lemma-B	dialect-F	lemma-F	dialect-Fb	lemma-Fb	dialect-O	lemma-O	dialect-NH	lemma-NH	inflections-B	depth
3328	71	0	(S) eHrn- (A,sA) aHrn- (B) eHren- (S,B,O) eHra= (A) aHre= (F) eHle=,eHre=	9	toward face of, to, among	toward face of, to, among		649a	28	2010-03-20	1900-01-01	vagrant		https://pishoyg.github.io/crum/3328.html	"(S) ⲉϩⲣⲛ-
(A, sA) ⲁϩⲣⲛ-
(B) ⲉϩⲣⲉⲛ-
(S, B, O) ⲉϩⲣⲁ=
(A) ⲁϩⲣⲉ=
(F) ⲉϩⲗⲉ=, ⲉϩⲣⲉ="	"(S) ⲉϩⲣⲛ-
(A, sA) ⲁϩⲣⲛ-
(B) ⲉϩⲣⲉⲛ-
(S, B, O) ⲉϩⲣⲁ=
(A) ⲁϩⲣⲉ=
(F) ⲉϩⲗⲉ=, ⲉϩⲣⲉ="	"(S) ⲉϩⲣⲛ-
(A, sA) ⲁϩⲣⲛ-
(B) ⲉϩⲣⲉⲛ-
(S, B, O) ⲉϩⲣⲁ=
(A) ⲁϩⲣⲉ=
(F) ⲉϩⲗⲉ=, ⲉϩⲣⲉ="	"(S) ⲉϩⲣⲛ-
(A, sA) ⲁϩⲣⲛ-
(B) ⲉϩⲣⲉⲛ-
(S, B, O) ⲉϩⲣⲁ=
(A) ⲁϩⲣⲉ=
(F) ⲉϩⲗⲉ=, ⲉϩⲣⲉ="	"(S) ⲉϩⲣⲛ- (prep.)
(A, sA) ⲁϩⲣⲛ- (prep.)
(B) ⲉϩⲣⲉⲛ- (prep.)
(S, B, O) ⲉϩⲣⲁ= (prep.)
(A) ⲁϩⲣⲉ= (prep.)
(F) ⲉϩⲗⲉ=, ⲉϩⲣⲉ= (prep.)"	preposition		toward face of, to, among	toward face of, to, among	toward face of, to, among	toward face of, to, among	toward face of, to, among	toward face of, to, among	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=649a	649	a	"ⲉϩⲣⲛ- (prep.)
ⲉϩⲣⲁ= (prep.)"	ⲉϩⲣⲛ-					"ⲁϩⲣⲛ- (prep.)
ⲁϩⲣⲉ= (prep.)"	ⲁϩⲣⲛ-	ⲁϩⲣⲛ- (prep.)	ⲁϩⲣⲛ-	"ⲉϩⲣⲉⲛ- (prep.)
ⲉϩⲣⲁ= (prep.)"	ⲉϩⲣⲉⲛ-	ⲉϩⲗⲉ=, ⲉϩⲣⲉ= (prep.)	ⲉϩⲗⲉ=			ⲉϩⲣⲁ= (prep.)	ⲉϩⲣⲁ=			ⲉϩⲣⲉⲛ,ⲉϩⲣⲁ	0
8851	71	3328	ebol e.	0	(/*B mostly, often one [ebol] for two ?*/), out toward	(/*B mostly, often one [ebol] for two ?*/), out toward		649a	29	2011-01-19	1900-01-01	vagrant		https://pishoyg.github.io/crum/8851.html	ⲉⲃⲟⲗ ⲉ.	ⲉⲃⲟⲗ ⲉ.	ⲉⲃⲟⲗ ⲉ.	ⲉⲃⲟⲗ ⲉ.	ⲉⲃⲟⲗ ⲉ.	-		<i>(B mostly, often one ⲉⲃⲟⲗ for two ?)</i>, out toward	(B mostly, often one ⲉⲃⲟⲗ for two ?), out toward	<i>(B mostly, often one ⲉⲃⲟⲗ for two ?)</i>, out toward	<i>(B mostly, often one ⲉⲃⲟⲗ for two ?)</i>, out toward	<i>(B mostly, often one ⲉⲃⲟⲗ for two ?)</i>, out toward	(B mostly, often one ⲉⲃⲟⲗ for two ?), out toward	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=649a	649	a	ⲉⲃⲟⲗ ⲉ.	ⲉⲃⲟⲗ ⲉ.	ⲉⲃⲟⲗ ⲉ.	ⲉⲃⲟⲗ ⲉ.	ⲉⲃⲟⲗ ⲉ.	ⲉⲃⲟⲗ ⲉ.	ⲉⲃⲟⲗ ⲉ.	ⲉⲃⲟⲗ ⲉ.	ⲉⲃⲟⲗ ⲉ.	ⲉⲃⲟⲗ ⲉ.	ⲉⲃⲟⲗ ⲉ.	ⲉⲃⲟⲗ ⲉ.	ⲉⲃⲟⲗ ⲉ.	ⲉⲃⲟⲗ ⲉ.	ⲉⲃⲟⲗ ⲉ.	ⲉⲃⲟⲗ ⲉ.	ⲉⲃⲟⲗ ⲉ.	ⲉⲃⲟⲗ ⲉ.	ⲉⲃⲟⲗ ⲉ.	ⲉⲃⲟⲗ ⲉ.	ⲉⲃⲟⲗ	1
8852	71	3328	eHoun e.,eKoun e.	0	in toward, before	in toward, before		649a	30	2011-01-19	1900-01-01	vagrant		https://pishoyg.github.io/crum/8852.html	ⲉϩⲟⲩⲛ ⲉ., ⲉϧⲟⲩⲛ ⲉ.	ⲉϩⲟⲩⲛ ⲉ., ⲉϧⲟⲩⲛ ⲉ.	ⲉϩⲟⲩⲛ ⲉ., ⲉϧⲟⲩⲛ ⲉ.	ⲉϩⲟⲩⲛ ⲉ., ⲉϧⲟⲩⲛ ⲉ.	ⲉϩⲟⲩⲛ ⲉ., ⲉϧⲟⲩⲛ ⲉ.	-		in toward, before	in toward, before	in toward, before	in toward, before	in toward, before	in toward, before	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=649a	649	a	ⲉϩⲟⲩⲛ ⲉ., ⲉϧⲟⲩⲛ ⲉ.	ⲉϩⲟⲩⲛ ⲉ.	ⲉϩⲟⲩⲛ ⲉ., ⲉϧⲟⲩⲛ ⲉ.	ⲉϩⲟⲩⲛ ⲉ.	ⲉϩⲟⲩⲛ ⲉ., ⲉϧⲟⲩⲛ ⲉ.	ⲉϩⲟⲩⲛ ⲉ.	ⲉϩⲟⲩⲛ ⲉ., ⲉϧⲟⲩⲛ ⲉ.	ⲉϩⲟⲩⲛ ⲉ.	ⲉϩⲟⲩⲛ ⲉ., ⲉϧⲟⲩⲛ ⲉ.	ⲉϩⲟⲩⲛ ⲉ.	ⲉϩⲟⲩⲛ ⲉ., ⲉϧⲟⲩⲛ ⲉ.	ⲉϩⲟⲩⲛ ⲉ.	ⲉϩⲟⲩⲛ ⲉ., ⲉϧⲟⲩⲛ ⲉ.	ⲉϩⲟⲩⲛ ⲉ.	ⲉϩⲟⲩⲛ ⲉ., ⲉϧⲟⲩⲛ ⲉ.	ⲉϩⲟⲩⲛ ⲉ.	ⲉϩⲟⲩⲛ ⲉ., ⲉϧⲟⲩⲛ ⲉ.	ⲉϩⲟⲩⲛ ⲉ.	ⲉϩⲟⲩⲛ ⲉ., ⲉϧⲟⲩⲛ ⲉ.	ⲉϩⲟⲩⲛ ⲉ.	ⲉϩⲟⲩⲛ,ⲉϧⲟⲩⲛ	1
8853	71	8852	T twn ..eHoun e.	0	fight against	fight against		649b	31	2011-01-19	1900-01-01	vagrant		https://pishoyg.github.io/crum/8853.html	ϯ ⲧⲱⲛ ⲉϩⲟⲩⲛ ⲉ.	ϯ ⲧⲱⲛ ⲉϩⲟⲩⲛ ⲉ.	ϯ ⲧⲱⲛ ⲉϩⲟⲩⲛ ⲉ.	ϯ ⲧⲱⲛ ⲉϩⲟⲩⲛ ⲉ.	ϯ ⲧⲱⲛ ⲉϩⲟⲩⲛ ⲉ.	-		fight against	fight against	fight against	fight against	fight against	fight against	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=649b	649	b	ϯ ⲧⲱⲛ ⲉϩⲟⲩⲛ ⲉ.	ϯ ⲧⲱⲛ ⲉϩⲟⲩⲛ ⲉ.	ϯ ⲧⲱⲛ ⲉϩⲟⲩⲛ ⲉ.	ϯ ⲧⲱⲛ ⲉϩⲟⲩⲛ ⲉ.	ϯ ⲧⲱⲛ ⲉϩⲟⲩⲛ ⲉ.	ϯ ⲧⲱⲛ ⲉϩⲟⲩⲛ ⲉ.	ϯ ⲧⲱⲛ ⲉϩⲟⲩⲛ ⲉ.	ϯ ⲧⲱⲛ ⲉϩⲟⲩⲛ ⲉ.	ϯ ⲧⲱⲛ ⲉϩⲟⲩⲛ ⲉ.	ϯ ⲧⲱⲛ ⲉϩⲟⲩⲛ ⲉ.	ϯ ⲧⲱⲛ ⲉϩⲟⲩⲛ ⲉ.	ϯ ⲧⲱⲛ ⲉϩⲟⲩⲛ ⲉ.	ϯ ⲧⲱⲛ ⲉϩⲟⲩⲛ ⲉ.	ϯ ⲧⲱⲛ ⲉϩⲟⲩⲛ ⲉ.	ϯ ⲧⲱⲛ ⲉϩⲟⲩⲛ ⲉ.	ϯ ⲧⲱⲛ ⲉϩⲟⲩⲛ ⲉ.	ϯ ⲧⲱⲛ ⲉϩⲟⲩⲛ ⲉ.	ϯ ⲧⲱⲛ ⲉϩⲟⲩⲛ ⲉ.	ϯ ⲧⲱⲛ ⲉϩⲟⲩⲛ ⲉ.	ϯ ⲧⲱⲛ ⲉϩⲟⲩⲛ ⲉ.	ϯ	2
8854	71	8852	Hioue ..eHoun e.	0	strike against	strike against		649b	32	2011-01-19	2011-01-19	vagrant	vagrant	https://pishoyg.github.io/crum/8854.html	ϩⲓⲟⲩⲉ ⲉϩⲟⲩⲛ ⲉ.	ϩⲓⲟⲩⲉ ⲉϩⲟⲩⲛ ⲉ.	ϩⲓⲟⲩⲉ ⲉϩⲟⲩⲛ ⲉ.	ϩⲓⲟⲩⲉ ⲉϩⲟⲩⲛ ⲉ.	ϩⲓⲟⲩⲉ ⲉϩⲟⲩⲛ ⲉ.	-		strike against	strike against	strike against	strike against	strike against	strike against	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=649b	649	b	ϩⲓⲟⲩⲉ ⲉϩⲟⲩⲛ ⲉ.	ϩⲓⲟⲩⲉ ⲉϩⲟⲩⲛ ⲉ.	ϩⲓⲟⲩⲉ ⲉϩⲟⲩⲛ ⲉ.	ϩⲓⲟⲩⲉ ⲉϩⲟⲩⲛ ⲉ.	ϩⲓⲟⲩⲉ ⲉϩⲟⲩⲛ ⲉ.	ϩⲓⲟⲩⲉ ⲉϩⲟⲩⲛ ⲉ.	ϩⲓⲟⲩⲉ ⲉϩⲟⲩⲛ ⲉ.	ϩⲓⲟⲩⲉ ⲉϩⲟⲩⲛ ⲉ.	ϩⲓⲟⲩⲉ ⲉϩⲟⲩⲛ ⲉ.	ϩⲓⲟⲩⲉ ⲉϩⲟⲩⲛ ⲉ.	ϩⲓⲟⲩⲉ ⲉϩⲟⲩⲛ ⲉ.	ϩⲓⲟⲩⲉ ⲉϩⲟⲩⲛ ⲉ.	ϩⲓⲟⲩⲉ ⲉϩⲟⲩⲛ ⲉ.	ϩⲓⲟⲩⲉ ⲉϩⲟⲩⲛ ⲉ.	ϩⲓⲟⲩⲉ ⲉϩⲟⲩⲛ ⲉ.	ϩⲓⲟⲩⲉ ⲉϩⲟⲩⲛ ⲉ.	ϩⲓⲟⲩⲉ ⲉϩⲟⲩⲛ ⲉ.	ϩⲓⲟⲩⲉ ⲉϩⲟⲩⲛ ⲉ.	ϩⲓⲟⲩⲉ ⲉϩⲟⲩⲛ ⲉ.	ϩⲓⲟⲩⲉ ⲉϩⲟⲩⲛ ⲉ.	ϩⲓⲟⲩⲉ	2
8855	71	8852	GwSt ..eHoun e.,JouSt ..eKoun e.	0	look (/*fixedly*/) at	look (/*fixedly*/) at		649b	33	2011-01-19	2011-01-19	vagrant	vagrant	https://pishoyg.github.io/crum/8855.html	ϭⲱϣⲧ ⲉϩⲟⲩⲛ ⲉ., ϫⲟⲩϣⲧ ⲉϧⲟⲩⲛ ⲉ.	ϭⲱϣⲧ ⲉϩⲟⲩⲛ ⲉ., ϫⲟⲩϣⲧ ⲉϧⲟⲩⲛ ⲉ.	ϭⲱϣⲧ ⲉϩⲟⲩⲛ ⲉ., ϫⲟⲩϣⲧ ⲉϧⲟⲩⲛ ⲉ.	ϭⲱϣⲧ ⲉϩⲟⲩⲛ ⲉ., ϫⲟⲩϣⲧ ⲉϧⲟⲩⲛ ⲉ.	ϭⲱϣⲧ ⲉϩⲟⲩⲛ ⲉ., ϫⲟⲩϣⲧ ⲉϧⲟⲩⲛ ⲉ.	-		look <i>(fixedly)</i> at	look (fixedly) at	look <i>(fixedly)</i> at	look <i>(fixedly)</i> at	look <i>(fixedly)</i> at	look (fixedly) at	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=649b	649	b	ϭⲱϣⲧ ⲉϩⲟⲩⲛ ⲉ., ϫⲟⲩϣⲧ ⲉϧⲟⲩⲛ ⲉ.	ϭⲱϣⲧ ⲉϩⲟⲩⲛ ⲉ.	ϭⲱϣⲧ ⲉϩⲟⲩⲛ ⲉ., ϫⲟⲩϣⲧ ⲉϧⲟⲩⲛ ⲉ.	ϭⲱϣⲧ ⲉϩⲟⲩⲛ ⲉ.	ϭⲱϣⲧ ⲉϩⲟⲩⲛ ⲉ., ϫⲟⲩϣⲧ ⲉϧⲟⲩⲛ ⲉ.	ϭⲱϣⲧ ⲉϩⲟⲩⲛ ⲉ.	ϭⲱϣⲧ ⲉϩⲟⲩⲛ ⲉ., ϫⲟⲩϣⲧ ⲉϧⲟⲩⲛ ⲉ.	ϭⲱϣⲧ ⲉϩⲟⲩⲛ ⲉ.	ϭⲱϣⲧ ⲉϩⲟⲩⲛ ⲉ., ϫⲟⲩϣⲧ ⲉϧⲟⲩⲛ ⲉ.	ϭⲱϣⲧ ⲉϩⲟⲩⲛ ⲉ.	ϭⲱϣⲧ ⲉϩⲟⲩⲛ ⲉ., ϫⲟⲩϣⲧ ⲉϧⲟⲩⲛ ⲉ.	ϭⲱϣⲧ ⲉϩⲟⲩⲛ ⲉ.	ϭⲱϣⲧ ⲉϩⲟⲩⲛ ⲉ., ϫⲟⲩϣⲧ ⲉϧⲟⲩⲛ ⲉ.	ϭⲱϣⲧ ⲉϩⲟⲩⲛ ⲉ.	ϭⲱϣⲧ ⲉϩⲟⲩⲛ ⲉ., ϫⲟⲩϣⲧ ⲉϧⲟⲩⲛ ⲉ.	ϭⲱϣⲧ ⲉϩⲟⲩⲛ ⲉ.	ϭⲱϣⲧ ⲉϩⲟⲩⲛ ⲉ., ϫⲟⲩϣⲧ ⲉϧⲟⲩⲛ ⲉ.	ϭⲱϣⲧ ⲉϩⲟⲩⲛ ⲉ.	ϭⲱϣⲧ ⲉϩⲟⲩⲛ ⲉ., ϫⲟⲩϣⲧ ⲉϧⲟⲩⲛ ⲉ.	ϭⲱϣⲧ ⲉϩⲟⲩⲛ ⲉ.	ϭⲱϣⲧ,ϫⲟⲩϣⲧ	2
8856	71	8852	T aas ..eHoun e.	0	give blow upon, at	give blow upon, at		649b	34	2011-01-19	2011-01-19	vagrant	vagrant	https://pishoyg.github.io/crum/8856.html	ϯ ⲁⲁⲥ ⲉϩⲟⲩⲛ ⲉ.	ϯ ⲁⲁⲥ ⲉϩⲟⲩⲛ ⲉ.	ϯ ⲁⲁⲥ ⲉϩⲟⲩⲛ ⲉ.	ϯ ⲁⲁⲥ ⲉϩⲟⲩⲛ ⲉ.	ϯ ⲁⲁⲥ ⲉϩⲟⲩⲛ ⲉ.	-		give blow upon, at	give blow upon, at	give blow upon, at	give blow upon, at	give blow upon, at	give blow upon, at	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=649b	649	b	ϯ ⲁⲁⲥ ⲉϩⲟⲩⲛ ⲉ.	ϯ ⲁⲁⲥ ⲉϩⲟⲩⲛ ⲉ.	ϯ ⲁⲁⲥ ⲉϩⲟⲩⲛ ⲉ.	ϯ ⲁⲁⲥ ⲉϩⲟⲩⲛ ⲉ.	ϯ ⲁⲁⲥ ⲉϩⲟⲩⲛ ⲉ.	ϯ ⲁⲁⲥ ⲉϩⲟⲩⲛ ⲉ.	ϯ ⲁⲁⲥ ⲉϩⲟⲩⲛ ⲉ.	ϯ ⲁⲁⲥ ⲉϩⲟⲩⲛ ⲉ.	ϯ ⲁⲁⲥ ⲉϩⲟⲩⲛ ⲉ.	ϯ ⲁⲁⲥ ⲉϩⲟⲩⲛ ⲉ.	ϯ ⲁⲁⲥ ⲉϩⲟⲩⲛ ⲉ.	ϯ ⲁⲁⲥ ⲉϩⲟⲩⲛ ⲉ.	ϯ ⲁⲁⲥ ⲉϩⲟⲩⲛ ⲉ.	ϯ ⲁⲁⲥ ⲉϩⲟⲩⲛ ⲉ.	ϯ ⲁⲁⲥ ⲉϩⲟⲩⲛ ⲉ.	ϯ ⲁⲁⲥ ⲉϩⲟⲩⲛ ⲉ.	ϯ ⲁⲁⲥ ⲉϩⲟⲩⲛ ⲉ.	ϯ ⲁⲁⲥ ⲉϩⲟⲩⲛ ⲉ.	ϯ ⲁⲁⲥ ⲉϩⲟⲩⲛ ⲉ.	ϯ ⲁⲁⲥ ⲉϩⲟⲩⲛ ⲉ.	ϯ	2
8857	71	8852	rime ..eHoun e.	0	weep to, before	weep to, before		649b	35	2011-01-19	2011-01-19	vagrant	vagrant	https://pishoyg.github.io/crum/8857.html	ⲣⲓⲙⲉ ⲉϩⲟⲩⲛ ⲉ.	ⲣⲓⲙⲉ ⲉϩⲟⲩⲛ ⲉ.	ⲣⲓⲙⲉ ⲉϩⲟⲩⲛ ⲉ.	ⲣⲓⲙⲉ ⲉϩⲟⲩⲛ ⲉ.	ⲣⲓⲙⲉ ⲉϩⲟⲩⲛ ⲉ.	-		weep to, before	weep to, before	weep to, before	weep to, before	weep to, before	weep to, before	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=649b	649	b	ⲣⲓⲙⲉ ⲉϩⲟⲩⲛ ⲉ.	ⲣⲓⲙⲉ ⲉϩⲟⲩⲛ ⲉ.	ⲣⲓⲙⲉ ⲉϩⲟⲩⲛ ⲉ.	ⲣⲓⲙⲉ ⲉϩⲟⲩⲛ ⲉ.	ⲣⲓⲙⲉ ⲉϩⲟⲩⲛ ⲉ.	ⲣⲓⲙⲉ ⲉϩⲟⲩⲛ ⲉ.	ⲣⲓⲙⲉ ⲉϩⲟⲩⲛ ⲉ.	ⲣⲓⲙⲉ ⲉϩⲟⲩⲛ ⲉ.	ⲣⲓⲙⲉ ⲉϩⲟⲩⲛ ⲉ.	ⲣⲓⲙⲉ ⲉϩⲟⲩⲛ ⲉ.	ⲣⲓⲙⲉ ⲉϩⲟⲩⲛ ⲉ.	ⲣⲓⲙⲉ ⲉϩⲟⲩⲛ ⲉ.	ⲣⲓⲙⲉ ⲉϩⲟⲩⲛ ⲉ.	ⲣⲓⲙⲉ ⲉϩⲟⲩⲛ ⲉ.	ⲣⲓⲙⲉ ⲉϩⲟⲩⲛ ⲉ.	ⲣⲓⲙⲉ ⲉϩⲟⲩⲛ ⲉ.	ⲣⲓⲙⲉ ⲉϩⲟⲩⲛ ⲉ.	ⲣⲓⲙⲉ ⲉϩⲟⲩⲛ ⲉ.	ⲣⲓⲙⲉ ⲉϩⲟⲩⲛ ⲉ.	ⲣⲓⲙⲉ ⲉϩⲟⲩⲛ ⲉ.	ⲣⲓⲙⲉ	2
8858	71	8852	T ..eHoun e.	0	oppose, withstand	oppose, withstand		649b	36	2011-01-19	2011-01-19	vagrant	vagrant	https://pishoyg.github.io/crum/8858.html	ϯ ⲉϩⲟⲩⲛ ⲉ.	ϯ ⲉϩⲟⲩⲛ ⲉ.	ϯ ⲉϩⲟⲩⲛ ⲉ.	ϯ ⲉϩⲟⲩⲛ ⲉ.	ϯ ⲉϩⲟⲩⲛ ⲉ.	-		oppose, withstand	oppose, withstand	oppose, withstand	oppose, withstand	oppose, withstand	oppose, withstand	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=649b	649	b	ϯ ⲉϩⲟⲩⲛ ⲉ.	ϯ ⲉϩⲟⲩⲛ ⲉ.	ϯ ⲉϩⲟⲩⲛ ⲉ.	ϯ ⲉϩⲟⲩⲛ ⲉ.	ϯ ⲉϩⲟⲩⲛ ⲉ.	ϯ ⲉϩⲟⲩⲛ ⲉ.	ϯ ⲉϩⲟⲩⲛ ⲉ.	ϯ ⲉϩⲟⲩⲛ ⲉ.	ϯ ⲉϩⲟⲩⲛ ⲉ.	ϯ ⲉϩⲟⲩⲛ ⲉ.	ϯ ⲉϩⲟⲩⲛ ⲉ.	ϯ ⲉϩⲟⲩⲛ ⲉ.	ϯ ⲉϩⲟⲩⲛ ⲉ.	ϯ ⲉϩⲟⲩⲛ ⲉ.	ϯ ⲉϩⲟⲩⲛ ⲉ.	ϯ ⲉϩⲟⲩⲛ ⲉ.	ϯ ⲉϩⲟⲩⲛ ⲉ.	ϯ ⲉϩⲟⲩⲛ ⲉ.	ϯ ⲉϩⲟⲩⲛ ⲉ.	ϯ ⲉϩⲟⲩⲛ ⲉ.	ϯ	2
3329	71	0	(S,A,sA) naHrn- (S,A,sA) nnaHrn- (B,F) naHren- (F) naHlen- (S,B,O) naHra= (S) nnaHra=,nHara= (A) nnaHre= (sA) naHre= (F) naHle=	9	in presence of, before	in presence of, before		649b	37	2010-03-20	1900-01-01	vagrant		https://pishoyg.github.io/crum/3329.html	"(S, A, sA) ⲛⲁϩⲣⲛ-
(S, A, sA) ⲛⲛⲁϩⲣⲛ-
(B, F) ⲛⲁϩⲣⲉⲛ-
(F) ⲛⲁϩⲗⲉⲛ-
(S, B, O) ⲛⲁϩⲣⲁ=
(S) ⲛⲛⲁϩⲣⲁ=, ⲛϩⲁⲣⲁ=
(A) ⲛⲛⲁϩⲣⲉ=
(sA) ⲛⲁϩⲣⲉ=
(F) ⲛⲁϩⲗⲉ="	"(S, A, sA) ⲛⲁϩⲣⲛ-
(S, A, sA) ⲛⲛⲁϩⲣⲛ-
(B, F) ⲛⲁϩⲣⲉⲛ-
(F) ⲛⲁϩⲗⲉⲛ-
(S, B, O) ⲛⲁϩⲣⲁ=
(S) ⲛⲛⲁϩⲣⲁ=, ⲛϩⲁⲣⲁ=
(A) ⲛⲛⲁϩⲣⲉ=
(sA) ⲛⲁϩⲣⲉ=
(F) ⲛⲁϩⲗⲉ="	"(S, A, sA) ⲛⲁϩⲣⲛ-
(S, A, sA) ⲛⲛⲁϩⲣⲛ-
(B, F) ⲛⲁϩⲣⲉⲛ-
(F) ⲛⲁϩⲗⲉⲛ-
(S, B, O) ⲛⲁϩⲣⲁ=
(S) ⲛⲛⲁϩⲣⲁ=, ⲛϩⲁⲣⲁ=
(A) ⲛⲛⲁϩⲣⲉ=
(sA) ⲛⲁϩⲣⲉ=
(F) ⲛⲁϩⲗⲉ="	"(S, A, sA) ⲛⲁϩⲣⲛ-
(S, A, sA) ⲛⲛⲁϩⲣⲛ-
(B, F) ⲛⲁϩⲣⲉⲛ-
(F) ⲛⲁϩⲗⲉⲛ-
(S, B, O) ⲛⲁϩⲣⲁ=
(S) ⲛⲛⲁϩⲣⲁ=, ⲛϩⲁⲣⲁ=
(A) ⲛⲛⲁϩⲣⲉ=
(sA) ⲛⲁϩⲣⲉ=
(F) ⲛⲁϩⲗⲉ="	"(S, A, sA) ⲛⲁϩⲣⲛ- (prep.)
(S, A, sA) ⲛⲛⲁϩⲣⲛ- (prep.)
(B, F) ⲛⲁϩⲣⲉⲛ- (prep.)
(F) ⲛⲁϩⲗⲉⲛ- (prep.)
(S, B, O) ⲛⲁϩⲣⲁ= (prep.)
(S) ⲛⲛⲁϩⲣⲁ=, ⲛϩⲁⲣⲁ= (prep.)
(A) ⲛⲛⲁϩⲣⲉ= (prep.)
(sA) ⲛⲁϩⲣⲉ= (prep.)
(F) ⲛⲁϩⲗⲉ= (prep.)"	preposition		in presence of, before	in presence of, before	in presence of, before	in presence of, before	in presence of, before	in presence of, before	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=649b	649	b	"ⲛⲁϩⲣⲛ- (prep.)
ⲛⲛⲁϩⲣⲛ- (prep.)
ⲛⲁϩⲣⲁ= (prep.)
ⲛⲛⲁϩⲣⲁ=, ⲛϩⲁⲣⲁ= (prep.)"	ⲛⲁϩⲣⲛ-					"ⲛⲁϩⲣⲛ- (prep.)
ⲛⲛⲁϩⲣⲛ- (prep.)
ⲛⲛⲁϩⲣⲉ= (prep.)"	ⲛⲁϩⲣⲛ-	"ⲛⲁϩⲣⲛ- (prep.)
ⲛⲛⲁϩⲣⲛ- (prep.)
ⲛⲁϩⲣⲉ= (prep.)"	ⲛⲁϩⲣⲛ-	"ⲛⲁϩⲣⲉⲛ- (prep.)
ⲛⲁϩⲣⲁ= (prep.)"	ⲛⲁϩⲣⲉⲛ-	"ⲛⲁϩⲣⲉⲛ- (prep.)
ⲛⲁϩⲗⲉⲛ- (prep.)
ⲛⲁϩⲗⲉ= (prep.)"	ⲛⲁϩⲣⲉⲛ-			ⲛⲁϩⲣⲁ= (prep.)	ⲛⲁϩⲣⲁ=			ⲛⲁϩⲣⲉⲛ,ⲛⲁϩⲣⲁ	0
3330	71	0	(S,A) HiHra=	0	on face of | (as nn)	on face of | (as nn)		650a	38	2010-03-20	2011-01-19	vagrant	vagrant	https://pishoyg.github.io/crum/3330.html	(S, A) ϩⲓϩⲣⲁ=	(S, A) ϩⲓϩⲣⲁ=	(S, A) ϩⲓϩⲣⲁ=	(S, A) ϩⲓϩⲣⲁ=	(S, A) ϩⲓϩⲣⲁ=	-		"on face of
<i>as nn</i>"	"on face of
as nn"	"on face of
<i>as nn</i>"	"on face of
<i>as nn</i>"	"on face of
<i>as nn</i>"	"on face of
as nn"	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=650a	650	a	ϩⲓϩⲣⲁ=	ϩⲓϩⲣⲁ=					ϩⲓϩⲣⲁ=	ϩⲓϩⲣⲁ=														0
692	72	0	(S,F) atl.	6	without, lacking any	without, lacking any		146b	1	2010-02-02	1900-01-01	vagrant		https://pishoyg.github.io/crum/692.html	(S, F) ⲁⲧⲗ.	(S, F) ⲁⲧⲗ.	(S, F) ⲁⲧⲗ.	(S, F) ⲁⲧⲗ.	(S, F) ⲁⲧⲗ. (adj.)	adjective		without, lacking any	without, lacking any	without, lacking any	without, lacking any	without, lacking any	without, lacking any	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=146b	146	b	ⲁⲧⲗ. (adj.)	ⲁⲧⲗ.											ⲁⲧⲗ. (adj.)	ⲁⲧⲗ.								0
693	72	0	(S) mntl.	4	nothingness, insignificance	nothingness, insignificance		147a	2	2010-02-02	1900-01-01	vagrant		https://pishoyg.github.io/crum/693.html	(S) ⲙⲛⲧⲗ.	(S) ⲙⲛⲧⲗ.	(S) ⲙⲛⲧⲗ.	(S) ⲙⲛⲧⲗ.	(S) ⲙⲛⲧⲗ. (ⲧ)	noun female		nothingness, insignificance	nothingness, insignificance	nothingness, insignificance	nothingness, insignificance	nothingness, insignificance	nothingness, insignificance	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=147a	147	a	ⲙⲛⲧⲗ. (ⲧ)	ⲙⲛⲧⲗ.																				0
2611	73	0	(B) ^^	1	revelation, declaration	revelation, declaration		486a	1	2010-03-02	1900-01-01	vagrant		https://pishoyg.github.io/crum/2611.html	(B) ―	(B) ―	(B) ―	(B) ―	(B) ― (ⲡ)	noun male		revelation, declaration	revelation, declaration	revelation, declaration	revelation, declaration	revelation, declaration	revelation, declaration	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=486a	486	a											― (ⲡ)	―										0
