book	chapter	chapter-zfilled	verse	testament	testament-indexed	section	section-indexed	section-indexed-no-testament	book-indexed	Bohairic	Sahidic	English	Greek	Fayyumic	Akhmimic	OldBohairic	Mesokemic	DialectP	Lycopolitan
Wisdom of Jesus son of Sirach	4	04	17	OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	07. Wisdom of Jesus son of Sirach		ⲡⲉⲧⲛⲁⲥⲟⲧⲡϥ̅ ⲛ̅ϣⲟⲣⲡ̅ ...	For at the first she will walk with him by crooked ways, and bring fear and dread upon him, and torment him with her discipline, until she may trust his soul, and try him by her laws.	ὅτι διεστραµµένως πορεύσεται µετ’ αὐτοῦ ἐν πρώτοις, φόβον καὶ δειλίαν ἐπάξει ἐπ’ αὐτὸν καὶ βασανίσει αὐτὸν ἐν παιδείᾳ αὐτῆς, ἕως οὗ ἐµπιστεύσῃ τῇ ψυχῇ αὐτοῦ, καὶ πειράσει αὐτὸν ἐν τοῖς δικαιώµασιν αὐτῆς·						
Wisdom of Jesus son of Sirach	4	04	18	OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	07. Wisdom of Jesus son of Sirach		ⲑⲟⲧⲉ ⲙⲛ̅ ⲟⲩⲙⲛ̅ⲧϭⲱⲃ ⲉϩⲣⲁⲓ̈ ⲉϫⲱⲥ .........ⲃⲁⲥⲁⲛⲓⲍⲉ ⲙ̅ⲙⲟϥ ϩⲛ̅ ⲧⲉⲥ...	Then will she return the straight way unto him, and comfort him, and shew him her secrets.	καὶ πάλιν ἐπανήξει κατ’ εὐθεῖαν πρὸς αὐτὸν καὶ εὐφρανεῖ αὐτὸν καὶ ἀποκαλύψει αὐτῷ τὰ κρυπτὰ αὐτῆς.						
Wisdom of Jesus son of Sirach	4	04	19	OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	07. Wisdom of Jesus son of Sirach		ϣⲁⲛⲧⲥ̅ⲧⲁⲛϩⲟⲩⲧⲥ̅ ⲙⲛ̅ ⲧⲉⲥⲯⲩⲭⲏ ⲁⲩⲱ ⲉϥ....	But if he go wrong, she will forsake him, and give him over to his own ruin.	ἐὰν ἀποπλανηθῇ, ἐγκαταλείψει αὐτὸν καὶ παραδώσει αὐτὸν εἰς χεῖρας πτώσεως αὐτοῦ.						
Wisdom of Jesus son of Sirach	4	04	20	OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	07. Wisdom of Jesus son of Sirach	ⲙⲁϩⲑⲏⲕ ⲉ̀ⲡⲓⲥⲏⲟⲩ ⲛ̀ⲧⲉⲕⲁⲣⲉϩ ⲉ̀ⲣⲟⲕ ⲉ̀ⲃⲟⲗ ϩⲁ ⲡⲓⲡⲉⲧϩⲱⲟⲩ ⲟⲩⲟϩ ⲙ̀ⲡⲉⲣϭⲓϣⲓⲡⲓ ⲉⲑⲃⲉ ⲧⲉⲕⲙⲉⲧⲁⲧⲥⲃⲱ	ⲁⲩⲱ ........... ⲥⲟⲟⲩⲧⲛ̅ ⲛⲥ............ ⲛⲉⲥⲡⲉⲑⲏⲡ.	Observe the opportunity, and beware of evil; and be not ashamed when it concerneth thy soul.	Συντήρησον καιρὸν καὶ φύλαξαι ἀπὸ πονηροῦ καὶ περὶ τῆς ψυχῆς σου µὴ αἰσχυνθῇς·						
Wisdom of Jesus son of Sirach	4	04	21	OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	07. Wisdom of Jesus son of Sirach	ⲟⲩⲟⲛ ⲟⲩϣⲓⲡⲓ ⲅⲁⲣ ⲉ̀ϣⲁϥⲓⲛⲓ ⲙ̀ⲫⲛⲟⲃⲓ ⲟⲩⲟϩ ⲟⲩϣⲓⲡⲓ ⲛ̀ⲟⲩⲱⲟⲩ ⲛⲉⲙ ϩⲙⲟⲧ	ⲉϣⲱⲡⲉ .... ⲥⲱⲣⲙ̅ .... ⲛϥ̅ⲧⲁⲁϥ .... (ⲕ̅ⲃ̅) (ⲕ̅ⲅ̅) ............................. ⲟⲩϣⲓⲡⲉ ⲉⲩⲉⲟⲟⲩ ⲙⲛ̅ ⲟⲩⲭⲁⲣⲓⲥ.	For there is a shame that bringeth sin; and there is a shame which is glory and grace.	ἔστιν γὰρ αἰσχύνη ἐπάγουσα ἁµαρτίαν, καὶ ἔστιν αἰσχύνη δόξα καὶ χάρις.						
Wisdom of Jesus son of Sirach	4	04	22	OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	07. Wisdom of Jesus son of Sirach	ⲙ̀ⲡⲉⲣϭⲓϩⲟ ⲟⲩⲡⲉⲧϩⲱⲟⲩ ⲡⲉ ⲛ̀ⲧⲉ ⲧⲉⲕⲯⲩⲭⲏ ⲟⲩⲟϩ ⲙ̀ⲡⲉⲣϣⲓⲡⲓ ϧⲉⲛ ⲡⲉⲕϩⲉⲓ	ⲙ̅ⲡⲣ̅ϫⲓϩⲟ ⲉⲩ....ⲟⲟⲩ ⲛ̅ⲧⲉⲕⲯⲩⲭⲏ ⲁⲩⲱ ⲙ̅ⲡⲣ̅ϣⲓⲡⲉ ϩⲙ̅ ⲡⲉⲕϩⲉ.	Accept no person against thy soul, and let not the reverence of any man cause thee to fall.	µὴ λάβῃς πρόσωπον κατὰ τῆς ψυχῆς σου καὶ µὴ ἐντραπῇς εἰς πτῶσίν σου.						
Wisdom of Jesus son of Sirach	4	04	23	OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	07. Wisdom of Jesus son of Sirach	ⲙ̀ⲡⲉⲣⲁⲙⲟⲛⲓ ⲛ̀ⲟⲩⲥⲁϫⲓ ϧⲉⲛ ⲟⲩⲥⲏⲟⲩ ⲛ̀ⲟⲩϫⲁⲓ	ⲙ̅ⲡⲣ̅ⲁⲙⲁϩⲧⲉ ⲛ̅ⲟⲩϣⲁϫⲉ ⲛ̅ⲟⲩⲟⲩⲟⲉⲓϣ ⲛ̅ⲟⲩϫⲁⲓ̈:	And refrain not to speak, when there is occasion to do good, and hide not thy wisdom in her beauty.	µὴ κωλύσῃς λόγον ἐν καιρῷ χρείας·						
Wisdom of Jesus son of Sirach	4	04	24	OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	07. Wisdom of Jesus son of Sirach	ⲉ̀ϣⲁⲩⲥⲟⲩⲉⲛ ϯⲥⲟⲫⲓⲁ ⲅⲁⲣ ϧⲉⲛ ⲡⲓⲥⲁϫⲓ ⲟⲩⲟϩ ϯⲙⲉⲧⲥⲁⲃⲉ ϧⲉⲛ ⲡⲥⲁϫⲓ ⲙ̀ⲡⲓⲗⲁⲥ	ⲉϣⲁⲩⲥⲟⲩⲛ ⲧⲥⲟⲫⲓⲁ ⲅⲁⲣ ϩⲙ̅ ⲡϣⲁϫⲉ ⲁⲩⲱ ⲧⲉⲥⲃⲱ ϩⲙ̅ ⲡϣⲁϫⲉ ⲙ̅ⲡⲗⲁⲁⲥ.	For by speech wisdom shall be known: and learning by the word of the tongue.	ἐν γὰρ λόγῳ γνωσθήσεται σοφία καὶ παιδεία ἐν ῥήµατι γλώσσης.						
Wisdom of Jesus son of Sirach	4	04	25	OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	07. Wisdom of Jesus son of Sirach	ⲙ̀ⲡⲉⲣϯ ⲟⲩⲃⲉ ϯⲙⲉⲑⲙⲏⲓ ⲟⲩⲟϩ ⲛ̀ⲧⲉⲕϭⲓϣⲓⲡⲓ ⲉⲑⲃⲉ ⲧⲉⲕⲙⲉⲧⲁⲧⲥⲃⲱ	ⲙ̅ⲡⲣ̅ϯ ⲟⲩⲃⲉ ⲙ̅ⲙⲉ ⲁⲩⲱ ⲛⲅ̅ϫⲓϣⲓⲡⲉ ....	In no wise speak against the truth; but be abashed of the error of thine ignorance.	µὴ ἀντίλεγε τῇ ἀληθείᾳ καὶ περὶ τῆς ἀπαιδευσίας σου ἐντράπηθι.						
Wisdom of Jesus son of Sirach	4	04	26	OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	07. Wisdom of Jesus son of Sirach	ⲙ̀ⲡⲉⲣϣⲓⲡⲓ ⲉ̀ⲉⲣⲟⲙⲟⲗⲟⲅⲓⲛ ⲛ̀ⲛⲉⲕⲛⲟⲃⲓ ⲙ̀ⲡⲉⲣⲁⲙⲟⲛⲓ ⲛ̀ⲟⲩⲓⲁⲣⲟ ⲉϥϧⲁϯ	.....ⲟⲙⲟⲗⲟⲅⲉⲓ ⲛ̅ⲛⲉⲕⲛⲟⲃⲉ ⲙ̅ⲡⲣ̅ⲁⲙⲁϩⲧⲉ ⲛ̅ⲟⲩⲉⲓⲉⲣⲟ ....	Be not ashamed to confess thy sins; and force not the course of the river.	µὴ αἰσχυνθῇς ὁµολογῆσαι ἐφ’ ἁµαρτίαις σου καὶ µὴ βιάζου ῥοῦν ποταµοῦ.						
Wisdom of Jesus son of Sirach	4	04	27	OT	1. OT	Poetic Books	3. Poetic Books	03. Poetic Books	07. Wisdom of Jesus son of Sirach	ⲙ̀ⲡⲉⲣⲫⲟⲣϣⲕ ⲉ̀ⲃⲟⲗ ϧⲁⲧⲉⲛ ⲟⲩⲣⲱⲙⲓ ⲛⲥⲟϫ ⲙ̀ⲡⲉⲣϭⲓ ⲙ̀ⲡϩⲟ ⲛ̀ⲟⲩϫⲱⲣⲓ	ⲙ̅ⲡⲣ̅ⲡⲟⲣϣⲕ̅ ⲉⲃⲟⲗ ϩⲁⲧⲛ̅ ⲟⲩⲣⲱⲙⲉ .....: ⲙ̅ⲡⲣ̅ϫⲓⲫⲟ ⲛ̅ⲟⲩϫⲱⲱⲣⲉ.	Make not thyself an underling to a foolish man; neither accept the person of the mighty.	καὶ µὴ ὑποστρώσῃς ἀνθρώπῳ µωρῷ σεαυτὸν καὶ µὴ λάβῃς πρόσωπον δυνάστου.						
